id,NO3,NO2,hx
CNX,0,0,1
NIR,0,1,0
1,0,0,0
10,0,0,0
13,0,0,0
14,1,0,1
15,1,1,0
16,0,0,0
17,1,1,1
18,1,1,1
19,1,1,0
20,1,0,1
21,1,0,1
22,1,0,1
23,1,0,1
24,1,1,1
25,1,0,1
26,1,1,1
27,1,1,0
28,0,0,0
29,0,0,0
30,1,1,1
31,0,0,0
32,1,1,0
33,1,1,1
34,0,0,0
36,0,0,0
38,0,0,0
39,1,0,1
40,1,0,1
41,0,0,0
43,1,1,1
48,1,0,1
50,0,0,0
53,0,0,0
55,1,0,1
56,1,1,0
57,1,1,0
66,1,1,1
67,1,0,1
68,1,1,1
69,1,0,1
70,1,0,1
71,1,0,1
72,1,1,1
73,1,0,1
75,0,0,0
77,1,0,1
78,1,0,1
79,1,1,1
80,1,0,1
81,0,0,0
82,1,0,1
83,1,1,1
84,1,1,1
85,0,0,0
86,1,1,0
87,0,0,0
88,1,1,1
89,1,1,0
90,0,0,0
91,1,0,1
92,1,1,1
93,1,1,1
94,1,0,1
95,1,1,0
96,0,0,0
98,1,1,0
99,1,1,1
100,1,1,0
101,0,0,0
102,0,0,0
103,1,0,1
104,1,1,0
105,1,1,1
106,1,1,1
107,1,1,1
108,1,0,1
109,0,0,0
110,1,0,1
111,0,0,0
112,0,0,0
113,1,1,0
114,1,1,0
116,1,1,0
117,1,0,1
118,1,0,1
119,1,1,1
120,0,0,0
122,1,1,1
123,1,0,1
124,1,0,1
125,1,0,1
127,0,0,0
129,0,0,0
131,1,1,1
132,1,0,1
133,1,1,0
134,1,1,1
135,1,1,1
136,1,0,1
137,1,1,1
138,1,0,1
139,1,1,0
140,1,0,1
141,1,1,0
142,1,1,0
143,1,1,0
145,1,0,1
146,0,0,0
148,0,0,0
150,1,0,1
151,0,0,0
152,1,1,0
153,1,1,1
154,1,1,0
155,1,1,1
156,1,1,0
157,0,0,0
158,1,1,0
159,1,1,1
161,1,1,1
163,0,0,0
164,1,1,0
165,1,0,1
166,1,1,1
167,1,0,1
168,1,1,1
169,1,1,1
170,1,1,0
171,1,1,1
172,1,1,1
173,1,1,1
175,1,1,0
176,1,1,1
177,1,1,0
178,1,1,1
179,1,1,1
180,1,1,0
181,0,0,0
182,1,1,0
183,0,0,0
184,1,1,1
185,1,1,0
188,1,1,0
189,1,0,1
190,1,0,1
191,1,1,1
192,1,0,1
193,1,1,0
194,1,1,1
195,0,0,0
196,1,1,1
197,1,1,1
199,1,0,1
200,0,0,0
201,1,1,1
202,1,1,0
205,0,0,0
206,1,0,1
207,1,0,1
208,1,1,0
209,1,1,0
210,1,1,1
211,0,0,0
212,1,1,0
213,1,1,0
214,1,0,1
215,1,0,1
217,1,1,1
218,1,0,1
219,1,1,1
220,1,1,1
222,1,1,1
223,1,0,1
224,1,0,1
225,0,0,0
226,1,0,1
227,0,0,0
232,0,0,0
233,0,0,0
234,1,1,1
235,1,1,1
236,1,1,1
237,1,1,0
238,0,0,0
239,1,1,0
240,0,0,0
241,0,0,0
242,1,1,1
243,1,1,1
244,1,1,1
248,0,0,0
249,1,1,0
250,0,0,0
251,1,0,1
252,1,0,1
253,1,1,0